"","start","end","today","city","park","sign_name","sign_hours","hours_list","sign1_map","sign1_vol","sign1_contact","sign1_multilang","sign1_fund_priv","sign1_fund_pub","sign2_PAyes","sign2_PAno","sign2_limituse","sign2_prohibitalcohol","sign2_prohibitdrugs","sign2_prohibittobacco","sign3_prohibitfoodbev","sign3_nopets","sign3_gensafe","safety_phone","safety_camera","mrkt_banners","mrkt_posters","mrkt_boards","amen1_bike","amen1_shelter","amen1_auditorium","amen1_class","amen1_gym","amen1_office","amen1_otherbuild","amen2_handicapaccess","amen2_vend","amen2_art","amen2_drink","amen2_water_dec","amen2_water_nat","amen2_fieldlight","amen2_pathlight","amen2_trash","amen2_petbags","amen3_bench","amen3_grill","amen3_orngarden","amen3_commgarden","amen3_trees","bath","bath_acc","parking","parking_fee","fenced_baseball","fenced_sportsfield","fenced_playarea","playarea_shade","playarea_surface","playarea_surface_otr","playarea_elements","playarea_elements_otr","pathsurface","geo_flat","geo_woods","hood","restype","commtype","near_school","near_library","near_hosp","near_childcare","st_hwy","st_lanes","st_bikelane","st_bus","entrances_num","entrances_xwalk","entrances_calming","playarea_structures"
"136","Apr 30, 2016 10:53:20 AM","Apr 30, 2016 10:58:30 AM","Apr 30, 2016","Pueblo","pu02","yes","no","","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","none","none","none","no","yes","no","no","no","no","","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","none","no","","no","","no","no","yes","no","dirt","Gravel","climber slide swing","","none","yes","no","res","sgl","","yes","no","no","no","no","1_2","no","no","1","none","none",5
"137","May 21, 2016 1:52:19 PM","May 21, 2016 2:00:18 PM","May 21, 2016","Pueblo","pu03","yes","no","","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","none","none","none","no","no","no","no","no","no","","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","many","no","","no","","no","no","yes","no","dirt","Gravel","swing","","none","yes","no","res","sgl","","no","no","no","no","no","1_2","no","no","none","some","none",1
"138","Jun 11, 2016 10:37:39 AM","Jun 11, 2016 10:56:32 AM","Jun 11, 2016","Pueblo","pu05","yes","no","","no","no","yes","yes","no","no","yes","no","yes","no","no","no","no","yes","yes","yes","no","none","none","none","yes","yes","no","no","no","no","","no","no","no","no","no","no","no","yes","yes","no","yes","no","yes","no","many","yes","yes","no","","no","no","yes","yes","dirt grass mulch pavement","","balance tube house slide spinner swing","Log balance beam, rocking bugs, rock wall, drums and horse shoes","none","yes","no","res","sgl","","no","no","no","no","no","1_2","no","no","mt4","none","none",3
"139","Jun 21, 2016 1:00:08 PM","Jun 21, 2016 1:09:53 PM","Jun 21, 2016","Pueblo","pu06","no","yes","10PM TO 6AM CLOSED","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","3_4","none","none","no","yes","no","no","no","no","","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","few","yes","yes","yes","no","yes","no","yes","no","dirt grass pavement","Gravel","balance climber tube house slide swing","","none","yes","no","res","sgl","","no","no","no","no","no","1_2","no","yes","mt4","many","none",3
"140","Apr 5, 2016 1:41:11 PM","Apr 5, 2016 1:49:56 PM","Apr 5, 2016","San Francisco","sf01","yes","yes","6AM-10PM","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","none","2","2","no","no","no","no","no","no","","no","no","yes","no","no","no","no","yes","yes","no","yes","yes","no","yes","many","no","","no","","no","yes","yes","no","dirt sand","","climber swing","","none","manyhills","yes","res","sgl","","yes","no","no","no","no","1_2","no","no","2","some","none",2
"141","Apr 10, 2016 11:11:47 AM","Apr 10, 2016 11:24:55 AM","Apr 10, 2016","San Francisco","sf02","yes","yes","PLAYGROUND 6AM TO 10PM; PARK 5AM TO 12AM","no","no","yes","no","no","no","no","yes","yes","yes","yes","yes","no","yes","yes","no","no","none","none","none","no","no","no","no","no","no","","yes","no","yes","yes","no","no","no","no","yes","no","yes","no","no","no","few","yes","yes","no","","yes","yes","yes","no","dirt grass pavement rubber","","climber slide spinner swing","Climbing net, airplane, talk tubes, airport check-in desk","none","somehills","no","res","sgl","","yes","no","no","no","no","5_6","yes","yes","mt4","many","none",7
"142","Apr 19, 2016 12:47:30 PM","Apr 19, 2016 12:55:58 PM","Apr 19, 2016","San Francisco","sf04","yes","yes","600AM-9:59PM","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","yes","no","no","no","none","none","1","no","no","no","no","no","no","","yes","no","no","no","no","no","no","no","yes","no","yes","no","no","no","many","no","","no","","no","no","","","","","","","paved","manyhills","no","mix","","","yes","no","no","no","no","1_2","no","yes","mt4","some","some",NA
"143","Jun 5, 2016 2:14:50 PM","Jun 5, 2016 2:24:33 PM","Jun 5, 2016","San Francisco","sf05","yes","yes","6AM-10PM","no","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","2","3_4","1","yes","yes","no","yes","yes","no","","yes","no","yes","yes","no","no","yes","yes","yes","no","yes","no","no","no","none","yes","yes","no","","no","no","yes","no","grass","","climber tube house slide spinner swing","","none","somehills","no","res","sgl multi apt","","no","yes","no","no","no","1_2","no","yes","2","many","none",9
"144","May 8, 2016 3:54:50 PM","May 8, 2016 4:05:50 PM","May 8, 2016","San Francisco","sf06","yes","yes","6AM -10PM","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","none","3_4","2","no","no","yes","yes","yes","yes","","yes","no","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no","many","yes","yes","no","","yes","yes","yes","no","grass pavement rubber","","climber tube house slide swing","","none","manyhills","yes","res","sgl multi apt","","yes","yes","no","yes","yes","1_2","no","yes","3","many","none",7
"145","May 7, 2016 3:40:23 PM","May 7, 2016 3:54:30 PM","May 7, 2016","San Francisco","sf07","yes","yes","6AM TO 10PM","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","1","mt5","mt5","yes","no","yes","yes","yes","yes","","yes","no","no","yes","no","no","no","yes","yes","yes","yes","no","yes","no","few","yes","yes","no","","yes","no","yes","yes","pavement rubber","","climber slide spinner swing","Seesaw, rock wall, glider","none","manyhills","yes","res","sgl","","yes","no","no","no","yes","1_2","no","yes","mt4","many","none",10
"146","Jun 5, 2016 11:22:46 AM","Jun 5, 2016 11:32:47 AM","Jun 5, 2016","San Francisco","sf08","no","yes","5AM TO MIDNIGHT","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","no","yes","yes","no","no","none","none","1","no","no","no","no","no","no","","no","no","no","no","no","no","no","no","yes","no","yes","no","no","yes","few","yes","no","yes","no","no","no","yes","no","sand","","balance climber sand slide swing","","none","yes","no","res","sgl multi","","no","no","no","no","no","1_2","no","no","2","some","none",5
"147","May 21, 2016 3:31:31 PM","May 21, 2016 3:41:24 PM","May 21, 2016","San Francisco","sf09","yes","yes","5AM TO MIDNIGHT","no","no","yes","no","no","no","no","no","yes","yes","yes","yes","no","yes","yes","no","no","none","none","none","no","no","no","no","no","no","","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","few","no","","no","","no","no","yes","yes","pavement rubber sand","","climber house sand slide spinner swing","Monkey rings","paved","somehills","yes","res","sgl","","no","no","no","no","no","1_2","no","yes","mt4","many","none",6
"148","May 17, 2016 12:47:04 PM","May 17, 2016 12:52:49 PM","May 17, 2016","San Francisco","sf10","yes","yes","6AM-10PM","no","no","no","yes","no","no","no","yes","no","yes","yes","yes","no","yes","no","yes","no","none","2","1","no","no","no","yes","yes","yes","Pool","yes","no","no","yes","no","no","no","no","yes","yes","yes","no","no","no","few","yes","yes","no","","yes","no","yes","no","grass pavement rubber sand","","climber tube sand slide spinner swing","","none","somehills","no","res","sgl","","no","no","no","no","no","3_4","yes","yes","mt4","many","none",7
